Season,Squad,W,D,L,GF,GA,Pts,Sh
2023/2024,Manchester City,28,7,3,96,34,91,647
2023/2024,Arsenal,28,5,5,91,29,89,511
2023/2024,Liverpool,24,10,4,86,41,82,539
2023/2024,Aston Villa,20,8,10,76,61,68,470
2023/2024,Tottenham,20,6,12,74,61,66,555
2023/2024,Chelsea,18,9,11,77,63,63,430
2023/2024,Newcastle Utd,18,6,14,85,62,60,537
2023/2024,Manchester Utd,18,6,14,57,58,60,452
2023/2024,West Ham,14,10,14,60,74,52,504
2023/2024,Crystal Palace,13,10,15,57,58,49,499
2023/2024,Brighton,12,12,14,55,62,48,781
2023/2024,Bournemouth,13,9,16,54,67,48,427
2023/2024,Fulham,13,8,17,55,61,47,683
2023/2024,Wolves,13,7,18,50,65,46,543
2023/2024,Everton,13,9,16,40,51,42,542
2023/2024,Brentford,10,9,19,56,65,39,450
2023/2024,Nott'ham Forest,9,9,20,49,67,32,360
2023/2024,Luton Town,6,8,24,52,85,26,582
2023/2024,Burnley,5,9,24,41,78,24,445
2023/2024,Sheffield Utd,3,7,28,35,104,16,425
2022/2023,Manchester City,28,5,5,94,33,89,589
2022/2023,Arsenal,26,6,6,88,43,84,427
2022/2023,Manchester Utd,23,6,9,58,43,75,358
2022/2023,Newcastle Utd,19,14,5,68,33,71,400
2022/2023,Liverpool,19,10,9,75,47,67,607
2022/2023,Brighton,18,8,12,72,53,62,481
2022/2023,Aston Villa,18,7,13,51,46,61,423
2022/2023,Tottenham,18,6,14,70,63,60,426
2022/2023,Brentford,15,14,9,58,46,59,420
2022/2023,Fulham,15,7,16,55,53,52,459
2022/2023,Crystal Palace,11,12,15,40,49,45,412
2022/2023,Chelsea,11,11,16,38,47,44,601
2022/2023,Wolves,11,8,19,31,58,41,590
2022/2023,West Ham,11,7,20,42,55,40,590
2022/2023,Bournemouth,11,6,21,37,71,39,565
2022/2023,Nott'ham Forest,9,11,18,38,68,38,362
2022/2023,Everton,8,12,18,34,57,36,413
2022/2023,Leicester City,9,7,22,51,68,34,512
2022/2023,Leeds United,7,10,21,48,78,31,466
2022/2023,Southampton,6,7,25,36,73,25,409
2021/2022,Manchester City,29,6,3,99,26,93,581
2021/2022,Liverpool,28,8,2,94,26,92,461
2021/2022,Chelsea,21,11,6,76,33,74,436
2021/2022,Tottenham,22,5,11,69,40,71,482
2021/2022,Arsenal,22,3,13,61,48,69,405
2021/2022,Manchester Utd,16,10,12,57,57,58,583
2021/2022,West Ham,16,8,14,60,51,56,404
2021/2022,Leicester City,14,10,14,62,59,52,430
2021/2022,Brighton,12,15,11,42,44,51,480
2021/2022,Wolves,15,6,17,38,43,51,433
2021/2022,Newcastle Utd,13,10,15,44,62,49,721
2021/2022,Crystal Palace,11,15,12,50,46,48,704
2021/2022,Brentford,13,7,18,48,56,46,503
2021/2022,Aston Villa,13,6,19,52,54,45,446
2021/2022,Southampton,9,13,16,43,67,40,370
2021/2022,Everton,11,6,21,43,66,39,478
2021/2022,Leeds United,9,11,18,42,79,38,486
2021/2022,Burnley,7,14,17,34,53,35,397
2021/2022,Watford,6,5,27,34,77,23,443
2021/2022,Norwich City,5,7,26,23,84,22,401
2020/2021,Manchester City,27,5,6,83,32,86,453
2020/2021,Manchester Utd,21,11,6,73,44,74,514
2020/2021,Liverpool,20,9,9,68,42,69,478
2020/2021,Chelsea,19,10,9,58,36,67,381
2020/2021,Leicester City,20,6,12,68,50,66,546
2020/2021,West Ham,19,8,11,62,47,65,345
2020/2021,Tottenham,18,8,12,68,45,62,395
2020/2021,Arsenal,18,7,13,55,39,61,436
2020/2021,Leeds United,18,5,15,62,54,59,518
2020/2021,Everton,17,8,13,47,48,59,473
2020/2021,Aston Villa,16,7,15,55,46,55,602
2020/2021,Newcastle Utd,12,9,17,46,62,45,590
2020/2021,Wolves,12,9,17,36,52,45,515
2020/2021,Crystal Palace,12,8,18,41,66,44,390
2020/2021,Southampton,12,7,19,47,68,43,319
2020/2021,Brighton,9,14,15,40,46,41,418
2020/2021,Burnley,10,9,19,33,55,39,438
2020/2021,Fulham,5,13,20,27,53,28,335
2020/2021,West Brom,5,11,22,35,76,26,464
2020/2021,Sheffield Utd,7,2,29,20,63,23,459
2019/2020,Liverpool,32,3,3,85,33,99,403
2019/2020,Manchester City,26,3,9,102,35,81,453
2019/2020,Manchester Utd,18,12,8,66,36,66,385
2019/2020,Chelsea,20,6,12,69,54,66,460
2019/2020,Leicester City,18,8,12,67,41,62,384
2019/2020,Tottenham,16,11,11,61,47,59,618
2019/2020,Wolves,15,14,9,51,40,59,373
2019/2020,Arsenal,14,14,10,56,48,56,468
2019/2020,Sheffield Utd,14,12,12,39,39,54,533
2019/2020,Burnley,15,9,14,43,50,54,586
2019/2020,Southampton,15,7,16,51,60,52,735
2019/2020,Everton,13,10,15,44,56,49,530
2019/2020,Newcastle Utd,11,11,16,38,58,44,398
2019/2020,Crystal Palace,11,10,17,31,50,43,407
2019/2020,Brighton,9,14,15,39,54,41,352
2019/2020,West Ham,10,9,19,49,62,39,494
2019/2020,Aston Villa,9,8,21,41,67,35,440
2019/2020,Bournemouth,9,7,22,40,65,34,416
2019/2020,Watford,8,10,20,36,64,34,413
2019/2020,Norwich City,5,6,27,26,75,21,457
2018/2019,Manchester City,32,2,4,95,23,98,462
2018/2019,Liverpool,30,7,1,89,22,97,437
2018/2019,Chelsea,21,9,8,63,39,72,364
2018/2019,Tottenham,23,2,13,67,39,71,358
2018/2019,Arsenal,21,7,10,73,51,70,413
2018/2019,Manchester Utd,19,9,10,65,54,66,602
2018/2019,Wolves,16,9,13,47,46,57,482
2018/2019,Everton,15,9,14,54,46,54,493
2018/2019,Leicester City,15,7,16,51,48,52,451
2018/2019,West Ham,15,7,16,52,55,52,400
2018/2019,Watford,14,8,16,52,59,50,508
2018/2019,Crystal Palace,14,7,17,51,53,49,568
2018/2019,Newcastle Utd,12,9,17,42,48,45,679
2018/2019,Bournemouth,13,6,19,56,70,45,514
2018/2019,Burnley,11,7,20,45,68,40,443
2018/2019,Southampton,9,12,17,45,65,39,479
2018/2019,Brighton,9,9,20,35,60,36,533
2018/2019,Cardiff City,10,4,24,34,69,34,436
2018/2019,Fulham,7,5,26,34,81,26,436
2018/2019,Huddersfield,3,7,28,22,76,16,473
2017/2018,Manchester City,32,4,2,106,27,100,589
2017/2018,Manchester Utd,25,6,7,68,28,81,462
2017/2018,Tottenham,23,8,7,74,36,77,377
2017/2018,Liverpool,21,12,5,84,38,75,378
2017/2018,Chelsea,21,7,10,62,38,70,603
2017/2018,Arsenal,19,6,13,74,51,63,466
2017/2018,Burnley,14,12,12,36,39,54,351
2017/2018,Everton,13,10,15,44,58,49,360
2017/2018,Leicester City,12,11,15,56,60,47,417
2017/2018,Newcastle Utd,12,8,18,39,47,44,635
2017/2018,Crystal Palace,11,11,16,45,55,44,656
2017/2018,Bournemouth,11,11,16,45,61,44,509
2017/2018,West Ham,10,12,16,48,68,42,450
2017/2018,Watford,11,8,19,44,64,41,447
2017/2018,Brighton,9,13,16,34,54,40,380
2017/2018,Huddersfield,9,10,19,28,58,37,338
2017/2018,Southampton,7,15,16,37,56,36,620
2017/2018,Swansea City,8,9,21,28,56,33,434
2017/2018,Stoke City,7,12,19,35,68,33,377
2017/2018,West Brom,6,13,19,31,56,31,368
2016/2017,Chelsea,30,3,5,85,33,93,
2016/2017,Tottenham,26,8,4,86,26,86,
2016/2017,Manchester City,23,9,6,80,39,78,
2016/2017,Liverpool,22,10,6,78,42,76,
2016/2017,Arsenal,23,6,9,77,44,75,
2016/2017,Manchester Utd,18,15,5,54,29,69,
2016/2017,Everton,17,10,11,62,44,61,
2016/2017,Southampton,12,10,16,41,48,46,
2016/2017,Bournemouth,12,10,16,55,67,46,
2016/2017,West Brom,12,9,17,43,51,45,
2016/2017,West Ham,12,9,17,47,64,45,
2016/2017,Leicester City,12,8,18,48,63,44,
2016/2017,Stoke City,11,11,16,41,56,44,
2016/2017,Crystal Palace,12,5,21,50,63,41,
2016/2017,Swansea City,12,5,21,45,70,41,
2016/2017,Burnley,11,7,20,39,55,40,
2016/2017,Watford,11,7,20,40,68,40,
2016/2017,Hull City,9,7,22,37,80,34,
2016/2017,Middlesbrough,5,13,20,27,53,28,
2016/2017,Sunderland,6,6,26,29,69,24,
2015/2016,Leicester City,23,12,3,68,36,81,
2015/2016,Arsenal,20,11,7,65,36,71,
2015/2016,Tottenham,19,13,6,69,35,70,
2015/2016,Manchester City,19,9,10,71,41,66,
2015/2016,Manchester Utd,19,9,10,49,35,66,
2015/2016,Southampton,18,9,11,59,41,63,
2015/2016,West Ham,16,14,8,65,51,62,
2015/2016,Liverpool,16,12,10,63,50,60,
2015/2016,Stoke City,14,9,15,41,55,51,
2015/2016,Chelsea,12,14,12,59,53,50,
2015/2016,Everton,11,14,13,59,55,47,
2015/2016,Swansea City,12,11,15,42,52,47,
2015/2016,Watford,12,9,17,40,50,45,
2015/2016,West Brom,10,13,15,34,48,43,
2015/2016,Crystal Palace,11,9,18,39,51,42,
2015/2016,Bournemouth,11,9,18,45,67,42,
2015/2016,Sunderland,9,12,17,48,62,39,
2015/2016,Newcastle Utd,9,10,19,44,65,37,
2015/2016,Norwich City,9,7,22,39,67,34,
2015/2016,Aston Villa,3,8,27,27,76,17,
2014/2015,Chelsea,26,9,3,73,32,87,
2014/2015,Manchester City,24,7,7,83,38,79,
2014/2015,Arsenal,22,9,7,71,36,75,
2014/2015,Manchester Utd,20,10,8,62,37,70,
2014/2015,Tottenham,19,7,12,58,53,64,
2014/2015,Liverpool,18,8,12,52,48,62,
2014/2015,Southampton,18,6,14,54,33,60,
2014/2015,Swansea City,16,8,14,46,49,56,
2014/2015,Stoke City,15,9,14,48,45,54,
2014/2015,Crystal Palace,13,9,16,47,51,48,
2014/2015,Everton,12,11,15,48,50,47,
2014/2015,West Ham,12,11,15,44,47,47,
2014/2015,West Brom,11,11,16,38,51,44,
2014/2015,Leicester City,11,8,19,46,55,41,
2014/2015,Newcastle Utd,10,9,19,40,63,39,
2014/2015,Sunderland,7,17,14,31,53,38,
2014/2015,Aston Villa,10,8,20,31,57,38,
2014/2015,Hull City,8,11,19,33,51,35,
2014/2015,Burnley,7,12,19,28,53,33,
2014/2015,QPR,8,6,24,42,73,30,
2013/2014,Manchester City,27,5,6,102,37,86,
2013/2014,Liverpool,26,6,6,101,50,84,
2013/2014,Chelsea,25,7,6,71,27,82,
2013/2014,Arsenal,24,7,7,68,41,79,
2013/2014,Everton,21,9,8,61,39,72,
2013/2014,Tottenham,21,6,11,55,51,69,
2013/2014,Manchester Utd,19,7,12,64,43,64,
2013/2014,Southampton,15,11,12,54,46,56,
2013/2014,Stoke City,13,11,14,45,52,50,
2013/2014,Newcastle Utd,15,4,19,43,59,49,
2013/2014,Crystal Palace,13,6,19,33,48,45,
2013/2014,Swansea City,11,9,18,54,54,42,
2013/2014,West Ham,11,7,20,40,51,40,
2013/2014,Sunderland,10,8,20,41,60,38,
2013/2014,Aston Villa,10,8,20,39,61,38,
2013/2014,Hull City,10,7,21,38,53,37,
2013/2014,West Brom,7,15,16,43,59,36,
2013/2014,Norwich City,8,9,21,28,62,33,
2013/2014,Fulham,9,5,24,40,85,32,
2013/2014,Cardiff City,7,9,22,32,74,30,
2012/2013,Manchester Utd,28,5,5,86,43,89,
2012/2013,Manchester City,23,9,6,66,34,78,
2012/2013,Chelsea,22,9,7,75,39,75,
2012/2013,Arsenal,21,10,7,72,37,73,
2012/2013,Tottenham,21,9,8,66,46,72,
2012/2013,Everton,16,15,7,55,40,63,
2012/2013,Liverpool,16,13,9,71,43,61,
2012/2013,West Brom,14,7,17,53,57,49,
2012/2013,Swansea City,11,13,14,47,51,46,
2012/2013,West Ham,12,10,16,45,53,46,
2012/2013,Norwich City,10,14,14,41,58,44,
2012/2013,Fulham,11,10,17,50,60,43,
2012/2013,Stoke City,9,15,14,34,45,42,
2012/2013,Southampton,9,14,15,49,60,41,
2012/2013,Aston Villa,10,11,17,47,69,41,
2012/2013,Newcastle Utd,11,8,19,45,68,41,
2012/2013,Sunderland,9,12,17,41,54,39,
2012/2013,Wigan Athletic,9,9,20,47,73,36,
2012/2013,Reading,6,10,22,43,73,28,
2012/2013,QPR,4,13,21,30,60,25,
2011/2012,Manchester City,28,5,5,93,29,89,
2011/2012,Manchester Utd,28,5,5,89,33,89,
2011/2012,Arsenal,21,7,10,74,49,70,
2011/2012,Tottenham,20,9,9,66,41,69,
2011/2012,Newcastle Utd,19,8,11,56,51,65,
2011/2012,Chelsea,18,10,10,65,46,64,
2011/2012,Everton,15,11,12,50,40,56,
2011/2012,Liverpool,14,10,14,47,40,52,
2011/2012,Fulham,14,10,14,48,51,52,
2011/2012,West Brom,13,8,17,45,52,47,
2011/2012,Swansea City,12,11,15,44,51,47,
2011/2012,Norwich City,12,11,15,52,66,47,
2011/2012,Sunderland,11,12,15,45,46,45,
2011/2012,Stoke City,11,12,15,36,53,45,
2011/2012,Wigan Athletic,11,10,17,42,62,43,
2011/2012,Aston Villa,7,17,14,37,53,38,
2011/2012,QPR,10,7,21,43,66,37,
2011/2012,Bolton,10,6,22,46,77,36,
2011/2012,Blackburn,8,7,23,48,78,31,
2011/2012,Wolves,5,10,23,40,82,25,
2010/2011,Manchester Utd,23,11,4,78,37,80,
2010/2011,Chelsea,21,8,9,69,33,71,
2010/2011,Manchester City,21,8,9,60,33,71,
2010/2011,Arsenal,19,11,8,72,43,68,
2010/2011,Tottenham,16,14,8,55,46,62,
2010/2011,Liverpool,17,7,14,59,44,58,
2010/2011,Everton,13,15,10,51,45,54,
2010/2011,Fulham,11,16,11,49,43,49,
2010/2011,Aston Villa,12,12,14,48,59,48,
2010/2011,Sunderland,12,11,15,45,56,47,
2010/2011,West Brom,12,11,15,56,71,47,
2010/2011,Newcastle Utd,11,13,14,56,57,46,
2010/2011,Stoke City,13,7,18,46,48,46,
2010/2011,Bolton,12,10,16,52,56,46,
2010/2011,Blackburn,11,10,17,46,59,43,
2010/2011,Wigan Athletic,9,15,14,40,61,42,
2010/2011,Wolves,11,7,20,46,66,40,
2010/2011,Birmingham City,8,15,15,37,58,39,
2010/2011,Blackpool,10,9,19,55,78,39,
2010/2011,West Ham,7,12,19,43,70,33,
2009/2010,Chelsea,27,5,6,103,32,86,
2009/2010,Manchester Utd,27,4,7,86,28,85,
2009/2010,Arsenal,23,6,9,83,41,75,
2009/2010,Tottenham,21,7,10,67,41,70,
2009/2010,Manchester City,18,13,7,73,45,67,
2009/2010,Aston Villa,17,13,8,52,39,64,
2009/2010,Liverpool,18,9,11,61,35,63,
2009/2010,Everton,16,13,9,60,49,61,
2009/2010,Birmingham City,13,11,14,38,47,50,
2009/2010,Blackburn,13,11,14,41,55,50,
2009/2010,Stoke City,11,14,13,34,48,47,
2009/2010,Fulham,12,10,16,39,46,46,
2009/2010,Sunderland,11,11,16,48,56,44,
2009/2010,Bolton,10,9,19,42,67,39,
2009/2010,Wolves,9,11,18,32,56,38,
2009/2010,Wigan Athletic,9,9,20,37,79,36,
2009/2010,West Ham,8,11,19,47,66,35,
2009/2010,Burnley,8,6,24,42,82,30,
2009/2010,Hull City,6,12,20,34,75,30,
2009/2010,Portsmouth,7,7,24,34,66,19,
2008/2009,Manchester Utd,28,6,4,68,24,90,
2008/2009,Liverpool,25,11,2,77,27,86,
2008/2009,Chelsea,25,8,5,68,24,83,
2008/2009,Arsenal,20,12,6,68,37,72,
2008/2009,Everton,17,12,9,55,37,63,
2008/2009,Aston Villa,17,11,10,54,48,62,
2008/2009,Fulham,14,11,13,39,34,53,
2008/2009,Tottenham,14,9,15,45,45,51,
2008/2009,West Ham,14,9,15,42,45,51,
2008/2009,Manchester City,15,5,18,58,50,50,
2008/2009,Wigan Athletic,12,9,17,34,45,45,
2008/2009,Stoke City,12,9,17,38,55,45,
2008/2009,Bolton,11,8,19,41,53,41,
2008/2009,Portsmouth,10,11,17,38,57,41,
2008/2009,Blackburn,10,11,17,40,60,41,
2008/2009,Sunderland,9,9,20,34,54,36,
2008/2009,Hull City,8,11,19,39,64,35,
2008/2009,Newcastle Utd,7,13,18,40,59,34,
2008/2009,Middlesbrough,7,11,20,28,57,32,
2008/2009,West Brom,8,8,22,36,67,32,
2007/2008,Manchester Utd,27,6,5,80,22,87,
2007/2008,Chelsea,25,10,3,65,26,85,
2007/2008,Arsenal,24,11,3,74,31,83,
2007/2008,Liverpool,21,13,4,67,28,76,
2007/2008,Everton,19,8,11,55,33,65,
2007/2008,Aston Villa,16,12,10,71,51,60,
2007/2008,Blackburn,15,13,10,50,48,58,
2007/2008,Portsmouth,16,9,13,48,40,57,
2007/2008,Manchester City,15,10,13,45,53,55,
2007/2008,West Ham,13,10,15,42,50,49,
2007/2008,Tottenham,11,13,14,66,61,46,
2007/2008,Newcastle Utd,11,10,17,45,65,43,
2007/2008,Middlesbrough,10,12,16,43,53,42,
2007/2008,Wigan Athletic,10,10,18,34,51,40,
2007/2008,Sunderland,11,6,21,36,59,39,
2007/2008,Bolton,9,10,19,36,54,37,
2007/2008,Fulham,8,12,18,38,60,36,
2007/2008,Reading,10,6,22,41,66,36,
2007/2008,Birmingham City,8,11,19,46,62,35,
2007/2008,Derby County,1,8,29,20,89,11,
2006/2007,Manchester Utd,28,5,5,83,27,89,
2006/2007,Chelsea,24,11,3,64,24,83,
2006/2007,Liverpool,20,8,10,57,27,68,
2006/2007,Arsenal,19,11,8,63,35,68,
2006/2007,Tottenham,17,9,12,57,54,60,
2006/2007,Everton,15,13,10,52,36,58,
2006/2007,Bolton,16,8,14,47,52,56,
2006/2007,Reading,16,7,15,52,47,55,
2006/2007,Portsmouth,14,12,12,45,42,54,
2006/2007,Blackburn,15,7,16,52,54,52,
2006/2007,Aston Villa,11,17,10,43,41,50,
2006/2007,Middlesbrough,12,10,16,44,49,46,
2006/2007,Newcastle Utd,11,10,17,38,47,43,
2006/2007,Manchester City,11,9,18,29,44,42,
2006/2007,West Ham,12,5,21,35,59,41,
2006/2007,Fulham,8,15,15,38,60,39,
2006/2007,Wigan Athletic,10,8,20,37,59,38,
2006/2007,Sheffield Utd,10,8,20,32,55,38,
2006/2007,Charlton Ath,8,10,20,34,60,34,
2006/2007,Watford,5,13,20,29,59,28,
2005/2006,Chelsea,29,4,5,72,22,91,
2005/2006,Manchester Utd,25,8,5,72,34,83,
2005/2006,Liverpool,25,7,6,57,25,82,
2005/2006,Arsenal,20,7,11,68,31,67,
2005/2006,Tottenham,18,11,9,53,38,65,
2005/2006,Blackburn,19,6,13,51,42,63,
2005/2006,Newcastle Utd,17,7,14,47,42,58,
2005/2006,Bolton,15,11,12,49,41,56,
2005/2006,West Ham,16,7,15,52,55,55,
2005/2006,Wigan Athletic,15,6,17,45,52,51,
2005/2006,Everton,14,8,16,34,49,50,
2005/2006,Fulham,14,6,18,48,58,48,
2005/2006,Charlton Ath,13,8,17,41,55,47,
2005/2006,Middlesbrough,12,9,17,48,58,45,
2005/2006,Manchester City,13,4,21,43,48,43,
2005/2006,Aston Villa,10,12,16,42,55,42,
2005/2006,Portsmouth,10,8,20,37,62,38,
2005/2006,Birmingham City,8,10,20,28,50,34,
2005/2006,West Brom,7,9,22,31,58,30,
2005/2006,Sunderland,3,6,29,26,69,15,
2004/2005,Chelsea,29,8,1,72,15,95,
2004/2005,Arsenal,25,8,5,87,36,83,
2004/2005,Manchester Utd,22,11,5,58,26,77,
2004/2005,Everton,18,7,13,45,46,61,
2004/2005,Liverpool,17,7,14,52,41,58,
2004/2005,Bolton,16,10,12,49,44,58,
2004/2005,Middlesbrough,14,13,11,53,46,55,
2004/2005,Manchester City,13,13,12,47,39,52,
2004/2005,Tottenham,14,10,14,47,41,52,
2004/2005,Aston Villa,12,11,15,45,52,47,
2004/2005,Charlton Ath,12,10,16,42,58,46,
2004/2005,Birmingham City,11,12,15,40,46,45,
2004/2005,Fulham,12,8,18,52,60,44,
2004/2005,Newcastle Utd,10,14,14,47,57,44,
2004/2005,Blackburn,9,15,14,32,43,42,
2004/2005,Portsmouth,10,9,19,43,59,39,
2004/2005,West Brom,6,16,16,36,61,34,
2004/2005,Crystal Palace,7,12,19,41,62,33,
2004/2005,Norwich City,7,12,19,42,77,33,
2004/2005,Southampton,6,14,18,45,66,32,
2003/2004,Arsenal,26,12,0,73,26,90,
2003/2004,Chelsea,24,7,7,67,30,79,
2003/2004,Manchester Utd,23,6,9,64,35,75,
2003/2004,Liverpool,16,12,10,55,37,60,
2003/2004,Newcastle Utd,13,17,8,52,40,56,
2003/2004,Aston Villa,15,11,12,48,44,56,
2003/2004,Charlton Ath,14,11,13,51,51,53,
2003/2004,Bolton,14,11,13,48,56,53,
2003/2004,Fulham,14,10,14,52,46,52,
2003/2004,Birmingham City,12,14,12,43,48,50,
2003/2004,Middlesbrough,13,9,16,44,52,48,
2003/2004,Southampton,12,11,15,44,45,47,
2003/2004,Portsmouth,12,9,17,47,54,45,
2003/2004,Tottenham,13,6,19,47,57,45,
2003/2004,Blackburn,12,8,18,51,59,44,
2003/2004,Manchester City,9,14,15,55,54,41,
2003/2004,Everton,9,12,17,45,57,39,
2003/2004,Leicester City,6,15,17,48,65,33,
2003/2004,Leeds United,8,9,21,40,79,33,
2003/2004,Wolves,7,12,19,38,77,33,
2002/2003,Manchester Utd,25,8,5,74,34,83,
2002/2003,Arsenal,23,9,6,85,42,78,
2002/2003,Newcastle Utd,21,6,11,63,48,69,
2002/2003,Chelsea,19,10,9,68,38,67,
2002/2003,Liverpool,18,10,10,61,41,64,
2002/2003,Blackburn,16,12,10,52,43,60,
2002/2003,Everton,17,8,13,48,49,59,
2002/2003,Southampton,13,13,12,43,46,52,
2002/2003,Manchester City,15,6,17,47,54,51,
2002/2003,Tottenham,14,8,16,51,62,50,
2002/2003,Middlesbrough,13,10,15,48,44,49,
2002/2003,Charlton Ath,14,7,17,45,56,49,
2002/2003,Birmingham City,13,9,16,41,49,48,
2002/2003,Fulham,13,9,16,41,50,48,
2002/2003,Leeds United,14,5,19,58,57,47,
2002/2003,Aston Villa,12,9,17,42,47,45,
2002/2003,Bolton,10,14,14,41,51,44,
2002/2003,West Ham,10,12,16,42,59,42,
2002/2003,West Brom,6,8,24,29,65,26,
2002/2003,Sunderland,4,7,27,21,65,19,
2001/2002,Arsenal,26,9,3,79,36,87,
2001/2002,Liverpool,24,8,6,67,30,80,
2001/2002,Manchester Utd,24,5,9,87,45,77,
2001/2002,Newcastle Utd,21,8,9,74,52,71,
2001/2002,Leeds United,18,12,8,53,37,66,
2001/2002,Chelsea,17,13,8,66,38,64,
2001/2002,West Ham,15,8,15,48,57,53,
2001/2002,Aston Villa,12,14,12,46,47,50,
2001/2002,Tottenham,14,8,16,49,53,50,
2001/2002,Blackburn,12,10,16,55,51,46,
2001/2002,Southampton,12,9,17,46,54,45,
2001/2002,Middlesbrough,12,9,17,35,47,45,
2001/2002,Fulham,10,14,14,36,44,44,
2001/2002,Charlton Ath,10,14,14,38,49,44,
2001/2002,Everton,11,10,17,45,57,43,
2001/2002,Bolton,9,13,16,44,62,40,
2001/2002,Sunderland,10,10,18,29,51,40,
2001/2002,Ipswich Town,9,9,20,41,64,36,
2001/2002,Derby County,8,6,24,33,63,30,
2001/2002,Leicester City,5,13,20,30,64,28,
2000/2001,Manchester Utd,24,8,6,79,31,80,
2000/2001,Arsenal,20,10,8,63,38,70,
2000/2001,Liverpool,20,9,9,71,39,69,
2000/2001,Leeds United,20,8,10,64,43,68,
2000/2001,Ipswich Town,20,6,12,57,42,66,
2000/2001,Chelsea,17,10,11,68,45,61,
2000/2001,Sunderland,15,12,11,46,41,57,
2000/2001,Aston Villa,13,15,10,46,43,54,
2000/2001,Charlton Ath,14,10,14,50,57,52,
2000/2001,Southampton,14,10,14,40,48,52,
2000/2001,Newcastle Utd,14,9,15,44,50,51,
2000/2001,Tottenham,13,10,15,47,54,49,
2000/2001,Leicester City,14,6,18,39,51,48,
2000/2001,Middlesbrough,9,15,14,44,44,42,
2000/2001,West Ham,10,12,16,45,50,42,
2000/2001,Everton,11,9,18,45,59,42,
2000/2001,Derby County,10,12,16,37,59,42,
2000/2001,Manchester City,8,10,20,41,65,34,
2000/2001,Coventry City,8,10,20,36,63,34,
2000/2001,Bradford City,5,11,22,30,70,26,
1999/2000,Manchester Utd,28,7,3,97,45,91,
1999/2000,Arsenal,22,7,9,73,43,73,
1999/2000,Leeds United,21,6,11,58,43,69,
1999/2000,Liverpool,19,10,9,51,30,67,
1999/2000,Chelsea,18,11,9,53,34,65,
1999/2000,Aston Villa,15,13,10,46,35,58,
1999/2000,Sunderland,16,10,12,57,56,58,
1999/2000,Leicester City,16,7,15,55,55,55,
1999/2000,West Ham,15,10,13,52,53,55,
1999/2000,Tottenham,15,8,15,57,49,53,
1999/2000,Newcastle Utd,14,10,14,63,54,52,
1999/2000,Middlesbrough,14,10,14,46,52,52,
1999/2000,Everton,12,14,12,59,49,50,
1999/2000,Coventry City,12,8,18,47,54,44,
1999/2000,Southampton,12,8,18,45,62,44,
1999/2000,Derby County,9,11,18,44,57,38,
1999/2000,Bradford City,9,9,20,38,68,36,
1999/2000,Wimbledon,7,12,19,46,74,33,
1999/2000,Sheffield Weds,8,7,23,38,70,31,
1999/2000,Watford,6,6,26,35,77,24,
1998/1999,Manchester Utd,22,13,3,80,37,79,
1998/1999,Arsenal,22,12,4,59,17,78,
1998/1999,Chelsea,20,15,3,57,30,75,
1998/1999,Leeds United,18,13,7,62,34,67,
1998/1999,West Ham,16,9,13,46,53,57,
1998/1999,Aston Villa,15,10,13,51,46,55,
1998/1999,Liverpool,15,9,14,68,49,54,
1998/1999,Derby County,13,13,12,40,45,52,
1998/1999,Middlesbrough,12,15,11,48,54,51,
1998/1999,Leicester City,12,13,13,40,46,49,
1998/1999,Tottenham,11,14,13,47,50,47,
1998/1999,Sheffield Weds,13,7,18,41,42,46,
1998/1999,Newcastle Utd,11,13,14,48,54,46,
1998/1999,Everton,11,10,17,42,47,43,
1998/1999,Coventry City,11,9,18,39,51,42,
1998/1999,Wimbledon,10,12,16,40,63,42,
1998/1999,Southampton,11,8,19,37,64,41,
1998/1999,Charlton Ath,8,12,18,41,56,36,
1998/1999,Blackburn,7,14,17,38,52,35,
1998/1999,Nott'ham Forest,7,9,22,35,69,30,
1997/1998,Arsenal,23,9,6,68,33,78,
1997/1998,Manchester Utd,23,8,7,73,26,77,
1997/1998,Liverpool,18,11,9,68,42,65,
1997/1998,Chelsea,20,3,15,71,43,63,
1997/1998,Leeds United,17,8,13,57,46,59,
1997/1998,Blackburn,16,10,12,57,52,58,
1997/1998,Aston Villa,17,6,15,49,48,57,
1997/1998,West Ham,16,8,14,56,57,56,
1997/1998,Derby County,16,7,15,52,49,55,
1997/1998,Leicester City,13,14,11,51,41,53,
1997/1998,Coventry City,12,16,10,46,44,52,
1997/1998,Southampton,14,6,18,50,55,48,
1997/1998,Newcastle Utd,11,11,16,35,44,44,
1997/1998,Tottenham,11,11,16,44,56,44,
1997/1998,Wimbledon,10,14,14,34,46,44,
1997/1998,Sheffield Weds,12,8,18,52,67,44,
1997/1998,Everton,9,13,16,41,56,40,
1997/1998,Bolton,9,13,16,41,61,40,
1997/1998,Barnsley,10,5,23,37,82,35,
1997/1998,Crystal Palace,8,9,21,37,71,33,
1996/1997,Manchester Utd,21,12,5,76,44,75,
1996/1997,Newcastle Utd,19,11,8,73,40,68,
1996/1997,Arsenal,19,11,8,62,32,68,
1996/1997,Liverpool,19,11,8,62,37,68,
1996/1997,Aston Villa,17,10,11,47,34,61,
1996/1997,Chelsea,16,11,11,58,55,59,
1996/1997,Sheffield Weds,14,15,9,50,51,57,
1996/1997,Wimbledon,15,11,12,49,46,56,
